,text
4,Да будет лента  в ваших айфонах
5,Да будет лента  в ваших айфонах
8,Есть у таких чатов видимо минус они не отображаются на версии
9,Есть у таких чатов видимо минус они не отображаются на версии
10,Итак начнм добро пожаловать в новый мир доставки контента ЦИФРА УТРА Начинайте каждый день с не  тысяч карточек создали магазины на платформе ВКонтакте спустя неделю после открытия нового сервиса Товары Ждем сервис Товары в Телеграме
11,А все уже видели новый трейлер к фильму про Стива Джобса Хотим все пойти  
12,Доставка свежих советов от Пола ГрэмаСовет  Начните с минимальной прибыли которой хватит на жизнь Автор называет это    прибыль которой хватит на покупку китайской лапшиЧто это значит 
13,Слухи Яндекс привлекал инвесторов под ЯндексМастер и закрыл проект Инвесторы негодуют Тссс  
14,Слухи Яндекс привлекал инвесторов под ЯндексМастер и закрыл проект Инвесторы негодуют Тссс  
15,суть слуха именно в инвесторах То что Мастер закрыт  все знают
16,суть слуха именно в инвесторах То что Мастер закрыт  все знают
17,  вот по этому смайлику можно отличить главного редактора Элину Если  значит  пишет Эля Привет
18,  вот по этому смайлику можно отличить главного редактора Элину Если  значит  пишет Эля Привет
19,    дал заем еще одному стартапу  А   дал этому стартапу инвестиции Мы считаем что заем  это хорошая модель Ты хотя бы должен его вернуть а значит будешь стараться 
20, Конституционный суд Франции подтвердил частичный запрет 
21, Какойто странный стартап нашел инвестора через  
22, открыл набор в бесплатную школу программистов Даже стипендии будут платить  Совсем что ли плохо на рынке с разработчиками 
23,Стартап из Татарстана прошел в акселератор в Малаге Испания Посмотрели фото Малаги тоже туда хотим просто из команды  в отпуске летом был только один человек 
24, Убер продолжает бороться с китайским конкурентом Диди Куаиди В этот раз убер запустил каршерингВ  нам недавно сказали что они с каршерингом в Китай ни ногой Посмотрим что выйдет у Убера 
25, Кстати Убер опять запретили во Франции точнее подтвердили прошлый запрет Вот
26, Кстати Убер опять запретили во Франции точнее подтвердили прошлый запрет Вот
27, Снова кстати Если вы не знаете что такое каршеринг  у нас есть обзорчик от Ани Соколовой с игроками и цифрами Цифры пока что смешные конечно  машин на всю Россию
28, Доброе утро Утренний обзорчик рынок видеорекламы вырастет на  контекстная вырастет на  баннеры упадут на   окончательно залез в видео у них там еще какието секретные разработки  объявила конкурс стартапов на  тысяч 
29,градусное видео в ленте фейсбука можно посмотреть здесь
30, Привет друзья Так как нас в  много то нужно както самоидентифицироваться Вс утро каждый выбирает себе иконку Я очень хотела  но решила что остановлюсь на  В общем если в самом начале сообщения стоит эта голубая буковка то это вам пишет Маша Подлеснова  Пока ещ только у главреда Элины есть свой значок и это 
31, Привет друзья Так как нас в  много то нужно както самоидентифицироваться Вс утро каждый выбирает себе иконку Я очень хотела  но решила что остановлюсь на  В общем если в самом начале сообщения стоит эта голубая буковка то это вам пишет Маша Подлеснова  Пока ещ только у главреда Элины есть свой значок и это 
32,Всем привет Каждый день мы будем рассказывать вам про интересные мероприятия для предпринимателейСегодня мы приглашаем вас на  где гостей ждут яркие выступления предпринимателей и изобретателей Беслпатный билет по промокоду  вот здесь 
33, Написали обзор инноваций на самом стабильном рынке  похоронномМогильные технологии проблемы отрасли и комментарии игроков 
34,Хорошие новости Алиса Мацанюк Полина Райгородская и Ольга Видишева попали в список  женщин которые перевернули индустрию по версии  Угадайте кто еще попал в топ
35, Мы в растерянности Рокетбанк покупают за  млн долларов Стартап в сумме привлек больше двух млн Успех неуспех Никто официально не комментируетА Тиньков был прав 
36, прямой репортаж с репетиции 
37, прямой репортаж с репетиции 
40, А в это время ктото написал некролог своему стартапу на  глав 
41,Получила
42,Получила
43, это Элина получила загранник и на радостях написала не в тот чат Приношу извинения
44, это Элина получила загранник и на радостях написала не в тот чат Приношу извинения
45, Доброе утро Утренний обзор Государство выделит на новые технологические рынки десять миллиардов рублейДля сравнения на оборонку в  году потратят  трлн  млрд рублей  продаст за выходные  миллионов новых айфонов А еще лазерная бритва новые  и и вс
46, Всем привет из Дагестана Сегодня новый фонд   будет рассказывать о себе в Махачкале Тут тепло солнечно везде стройка магазины и машины А еще все девушки очень красивые
47, Всем привет из Дагестана Сегодня новый фонд   будет рассказывать о себе в Махачкале Тут тепло солнечно везде стройка магазины и машины А еще все девушки очень красивые
50,Раскрываем источники 
51, Миллиардер Зиявудин Магомедов
52, Миллиардер Зиявудин Магомедов
55, Только что со сцены пообещал дагестанскому ученому что проинвестирует в его проект
56, Только что со сцены пообещал дагестанскому ученому что проинвестирует в его проект
57, Дорогие читатели Извините что я так поздно но не могу не поделиться теперь вы можете читать материалы  на сайте о тот самый  который открывается при подключении к   в метро в разделе Экономика и бизнес 
62, На адрес  пришло письмо
63, На адрес  пришло письмо
64, Хоть прим заявок и закрыт но я для интересных компаний сделаю исключение Глонасс имея огромные ресурсы например доступ к  млн автомобилей и всем автопроизводителям готов и заинтересован делать бизнес на системе ЭраГлонасс им официально решили зарабатывать с июля этого года Если у вас есть бизнес или ИДЕЯ для бизнеса в логистике  навигации любых  транспортных технологиях то это РЕАЛЬНО крутой шанс и повод Почитайте 
65,Если вам кажется что вы говорите слишком медленно значит вы говорите с правильной скоростьюВот  советов о том как презентовать свой проект от сооснователя инвестиционной компании   Пола Грэма
66, Венчурный фонд   прощается с моделью    реклама за долю в проектеГоворят рынок России к такому не готов совсем
67, Доброе утроСтанислав Сажин Доктор на работе продолжает рассказ о бизнесе в области медицины
68, ЦИФРЫ   млн новых айфонов продано  новых айфонов продали в России   и  не смогли отсудить у ВКонтакте  млн рублей  млн долларов подняла в раунде С блогплатформа 
69, Издание   проанализировало тренды в доменах стартапов привет ГроссДнепрову 
70, А это привет Косте Виноградову мы знаем что ты тут
71, Лапку купил    
72,Уже зафолловили в  Эдварда Сноудена 
73, Утра или уже Дня    защитит от биологического оружия сириосли  В Китае подписка на   будет стоить  в то время как в США   у нас   Вс ради захвата сладкого китайского рынка Иначе акционеры будут негодовать  выпустила    подключается к любым колонкам и позволяет транслировать музыку с телефона Стоит   запускает прямые продажи рекламы Партнером стала компания  ЯндексТакси и Билайн уже купили рекламу Тото Инстаграм вчера обновился 
74,   купил   за  млн 
75,  обновил дизайн 
76,  вложился в индийский сервис доставки продуктов 
77,Доброе утро  выпустила      Релиз  принс тайловый режим работа с несколькими полноэкранными приложениями одновременно Удачного обновления  анонсировал самое большое за последнее время обновление персональной странички пользователя Главные изменения пришлись на фотографию профиля Теперь можно будет ставить временные аватарки например по случаю какогонибудь праздника и использовать в качестве оных зацикленные секундные видео На видео смотрится здорово  Джэк Дорси стал постоянным   При этом он продолжит управлять  Дорси был назначен временным генеральным директором в июле после отставки Дика Костоло который управлял компанией последние шесть летАкции  уже подскочили на 
78, А я влезу в канал с нашим    новый евент про то как перейти с совка в управлении МСБ на новые облачные технологии от избавления себя от актов и счтов с курьерами до единой сквозной аналитики  
79, Ремез  удаленные онкологические анализы таки подал в суд на Сажина Доктор на работе
80, Ремез  удаленные онкологические анализы таки подал в суд на Сажина Доктор на работе
81,Всем привет меня зовут Аня я пишу лонгриды У меня денежный значок потому что в своих текстах я пытаюсь нашупать новые рыночные ниши для технологических предпринимателей
82,Всем привет меня зовут Аня я пишу лонгриды У меня денежный значок потому что в своих текстах я пытаюсь нашупать новые рыночные ниши для технологических предпринимателей
